"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Archived_Date__c","nFORCE__Context_Id__c","nFORCE__Context_Owner_Id__c","nFORCE__Is_Archived__c","nFORCE__Label__c","nFORCE__Question__c","nFORCE__Answer__c","nFORCE__Currency_Answer__c","nFORCE__Number_Answer__c","AutorabitExtId__c"
"a1K8c00000jTSUfEAO","0058c00000BxeO9AAJ","false","A-000161","2024-03-29T15:27:15.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOWAA4","","","","a1K8c00000gzIYKEA2"
"a1K8c00000jTSUgEAO","0058c00000BxeO9AAJ","false","A-000162","2024-03-29T15:27:15.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOXAA4","","","","a1K8c00000gzIYLEA2"
"a1K8c00000jTSUhEAO","0058c00000BxeO9AAJ","false","A-000163","2024-03-29T15:27:15.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOYAA4","","","","a1K8c00000gzIYMEA2"
"a1K8c00000jTSUiEAO","0058c00000BxeO9AAJ","false","A-000164","2024-03-29T15:27:15.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOZAA4","","","","a1K8c00000gzIYNEA2"
"a1K8c00000jTV4yEAG","0058c00000BxeO9AAJ","false","A-000165","2024-04-01T07:31:10.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOWAA4","","","","a1K8c00000jTSUfEAO"
"a1K8c00000jTV4zEAG","0058c00000BxeO9AAJ","false","A-000166","2024-04-01T07:31:10.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOXAA4","","","","a1K8c00000jTSUgEAO"
"a1K8c00000jTV50EAG","0058c00000BxeO9AAJ","false","A-000167","2024-04-01T07:31:10.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOYAA4","","","","a1K8c00000jTSUhEAO"
"a1K8c00000jTV51EAG","0058c00000BxeO9AAJ","false","A-000168","2024-04-01T07:31:10.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOZAA4","","","","a1K8c00000jTSUiEAO"
"a1K8c00000kDqDMEA0","0058c00000BxeO9AAJ","false","A-000169","2024-04-02T20:43:21.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOWAA4","","","","a1K8c00000jTV4yEAG"
"a1K8c00000kDqDNEA0","0058c00000BxeO9AAJ","false","A-000170","2024-04-02T20:43:21.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOXAA4","","","","a1K8c00000jTV4zEAG"
"a1K8c00000kDqDOEA0","0058c00000BxeO9AAJ","false","A-000171","2024-04-02T20:43:21.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOYAA4","","","","a1K8c00000jTV50EAG"
"a1K8c00000kDqDPEA0","0058c00000BxeO9AAJ","false","A-000172","2024-04-02T20:43:21.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOZAA4","","","","a1K8c00000jTV51EAG"
