"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nFORCE__Disable_Read_Only_View__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a2GHo000001ueJeMAI","005Ho00000AXM6UIAX","","Application Details","2023-10-31T13:56:27.000Z","005Ho00000AXMB5IAP","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42286887929986442","false","","","",""
"a2GHo000001ueJfMAI","005Ho00000AXM6UIAX","","Underwriting Details","2023-10-31T13:56:27.000Z","005Ho00000AXMB5IAP","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42204392997691879","false","","","",""
"a2GHo000001ueJgMAI","005Ho00000AXM6UIAX","","Third Party Management","2023-10-31T13:56:27.000Z","005Ho00000AXMB5IAP","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42411851997942573","false","","","",""
"a2GHo000001ueJhMAI","005Ho00000AXM6UIAX","","Loan Details-Retail","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","623454651543256","false","","","",""
"a2GHo000001ueJiMAI","005Ho00000AXM6UIAX","","Borrowing Structure Information","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","02551560278745076","false","","","",""
"a2GHo000001ueJjMAI","005Ho00000AXM6UIAX","","Underwriting Details","2023-10-31T13:56:27.000Z","005Ho00000AXMB5IAP","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42281206255813701","false","","","",""
"a2GHo000001ueJkMAI","005Ho00000AXM6UIAX","","Application Details","2023-10-31T13:56:27.000Z","005Ho00000AXMB5IAP","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42416387574958178","false","","","",""
"a2GHo000001ueJlMAI","005Ho00000AXM6UIAX","","Application Details","2023-10-31T13:56:27.000Z","005Ho00000AXMB5IAP","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42614756889733027","false","","","",""
"a2GHo000001ueJmMAI","005Ho00000AXM6UIAX","","Underwriting Details","2023-10-31T13:56:27.000Z","005Ho00000AXMB5IAP","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42306617109093353","false","","","",""
"a2GHo000001ueJnMAI","005Ho00000AXM6UIAX","","Change Memo","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","60941560278867078","false","","","",""
